Title,Date,Title_Cleaned_For_API,tmdb_id,tmdb_title,tmdb_original_title,tmdb_overview,tmdb_genres,tmdb_popularity,tmdb_vote_average,tmdb_vote_count,tmdb_media_type,tmdb_release_date,tmdb_runtime_minutes
La gloria: Episodio 5,2023-12-20,La gloria,1357922.0,La Gloria,La Gloria,"An embittered Texas border rancher mistakenly shoots a young migrant woman as she crosses his property and must decide whether to help her, risking discovery by his estranged son, a Border Patrol Agent.",Drama,0.4909,0.0,0.0,movie,2024-10-25,97.0
Obsesión: Miniserie: Episodio 2,2023-12-20,Obsesión,203505.0,Scandal: Story of an Obsession,"Escándalo, relato de una obsesión","Inés is a 42-year-old woman who, when times start to get tough, attempts to drown herself. She is saved by Hugo, a teenage boy who then becomes obsessed with her. A forbidden romance develops between the two, whose consequences end up affecting all those around them.",Drama,7.2736,4.5,7.0,tv,2023-01-11,0.0
Obsesión: Miniserie: Episodio 1,2023-12-20,Obsesión,203505.0,Scandal: Story of an Obsession,"Escándalo, relato de una obsesión","Inés is a 42-year-old woman who, when times start to get tough, attempts to drown herself. She is saved by Hugo, a teenage boy who then becomes obsessed with her. A forbidden romance develops between the two, whose consequences end up affecting all those around them.",Drama,7.2736,4.5,7.0,tv,2023-01-11,0.0
La gloria: Episodio 4,2023-12-20,La gloria,1357922.0,La Gloria,La Gloria,"An embittered Texas border rancher mistakenly shoots a young migrant woman as she crosses his property and must decide whether to help her, risking discovery by his estranged son, a Border Patrol Agent.",Drama,0.4909,0.0,0.0,movie,2024-10-25,97.0
Sin novedad en el frente,2023-12-20,Sin novedad en el frente,1086967.0,Making All Quiet on the Western Front,Making All Quiet on the Western Front,Go behind the scenes of Edward Berger’s WWI epic and see how the cast and crew crafted its amazing authenticity — from the sets to the SFX prosthetics.,Documentary,0.4274,6.179,14.0,movie,2022-11-16,18.0
La ley de los audaces: Temporada 8: Ingreso por metro cuadrado,2023-12-20,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 8: Promesas,2023-12-20,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
La ley de los audaces: Temporada 8: Lucha por el poder,2023-12-20,La ley de los audaces,37680.0,Suits,Suits,"While running from a drug deal gone bad, Mike Ross, a brilliant young college-dropout, slips into a job interview with one of New York City's best legal closers, Harvey Specter. Tired of cookie-cutter law school grads, Harvey takes a gamble by hiring Mike on the spot after he recognizes his raw talent and photographic memory.",Drama,95.4531,8.224,5264.0,tv,2011-06-23,42.0
Alice in Borderland: Temporada 2: Episodio 8,2023-12-18,Alice in Borderland,71907.0,Alice in Borderland,今際の国のアリス,"Arisu, Karube, and Segawa, a trio of highschool delinquents, are bored with their current lives. During a firework celebration, Arisu wishes that he could live in a different world which would be more exciting for him. As such, his wish was granted, and the three were transported into a seemingly post-apocalyptic-like parallel world. After stepping into what seems to be an empty festival, they are greeted by a woman who tells them that they have already ""entered their game"". After clearing the game, she reveals to them that, in Borderlands, they must play games to survive.","Action & Adventure, Sci-Fi & Fantasy, Animation",2.4073,6.731,26.0,tv,2014-10-17,24.0
Alice in Borderland: Temporada 2: Episodio 7,2023-12-18,Alice in Borderland,71907.0,Alice in Borderland,今際の国のアリス,"Arisu, Karube, and Segawa, a trio of highschool delinquents, are bored with their current lives. During a firework celebration, Arisu wishes that he could live in a different world which would be more exciting for him. As such, his wish was granted, and the three were transported into a seemingly post-apocalyptic-like parallel world. After stepping into what seems to be an empty festival, they are greeted by a woman who tells them that they have already ""entered their game"". After clearing the game, she reveals to them that, in Borderlands, they must play games to survive.","Action & Adventure, Sci-Fi & Fantasy, Animation",2.4073,6.731,26.0,tv,2014-10-17,24.0
